x-axis,1,2
second,Volt,Volt
+0.0E+00,-3.346922055E+00,-0.0E+00
+1.563E-06,-3.346922055E+00,+40.201005E-03
+3.125E-06,-3.346922055E+00,+80.402009E-03
+4.688E-06,-3.346922055E+00,+40.201005E-03
+6.250E-06,-3.346922055E+00,+40.201005E-03
+7.813E-06,-3.346922055E+00,+40.201005E-03
+9.375E-06,-3.346922055E+00,+40.201005E-03
+10.938E-06,-3.346922055E+00,+40.201005E-03
+12.500E-06,-3.346922055E+00,+80.402009E-03
+14.063E-06,-3.346922055E+00,+80.402009E-03
+15.625E-06,-3.346922055E+00,+40.201005E-03
+17.188E-06,-3.346922055E+00,+40.201005E-03
+18.750E-06,-3.346922055E+00,+40.201005E-03
+20.313E-06,-3.153957233E+00,+40.201005E-03
+21.875E-06,-2.800188392E+00,+40.201005E-03
+23.438E-06,-2.285615534E+00,+40.201005E-03
+25.000E-06,-1.706721067E+00,+40.201005E-03
+26.563E-06,-1.449434638E+00,+40.201005E-03
+28.125E-06,-645.414546E-03,+40.201005E-03
+29.688E-06,-388.128117E-03,+40.201005E-03
+31.250E-06,+415.891975E-03,+40.201005E-03
+32.813E-06,+833.982423E-03,+40.201005E-03
+34.375E-06,+1.348555282E+00,+40.201005E-03
+35.938E-06,+2.056092963E+00,+40.201005E-03
+37.500E-06,+2.570665821E+00,+120.603014E-03
+39.063E-06,+2.699309036E+00,+321.608037E-03
+40.625E-06,+2.795791447E+00,+562.814064E-03
+42.188E-06,+2.827952251E+00,+804.020092E-03
+43.750E-06,+2.924434662E+00,+1.045226119E+00
+45.313E-06,+2.956595466E+00,+1.206030138E+00
+46.875E-06,+3.020917073E+00,+1.366834156E+00
+48.438E-06,+3.085238680E+00,+1.567839179E+00
+50.000E-06,+3.085238680E+00,+1.688442193E+00
+51.563E-06,+3.117399484E+00,+1.768844202E+00
+53.125E-06,+3.149560288E+00,+1.889447216E+00
+54.688E-06,+3.149560288E+00,+1.889447216E+00
+56.250E-06,+3.149560288E+00,+1.929648221E+00
+57.813E-06,+3.149560288E+00,+1.929648221E+00
+59.375E-06,+3.149560288E+00,+1.849246211E+00
+60.938E-06,+3.117399484E+00,+1.768844202E+00
+62.500E-06,+3.085238680E+00,+1.648241188E+00
+64.063E-06,+3.053077877E+00,+1.608040184E+00
+65.625E-06,+2.988756269E+00,+1.407035161E+00
+67.188E-06,+2.924434662E+00,+1.125628129E+00
+68.750E-06,+2.892273858E+00,+1.005025115E+00
+70.313E-06,+2.827952251E+00,+723.618083E-03
